Date;Url;Message;Stacktrace
Tue Feb 28 2023 16:51:26 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 16:54:19 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 16:55:06 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 16:55:18 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 16:55:24 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 16:55:27 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 17:04:40 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 17:04:42 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 17:06:31 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
Tue Feb 28 2023 17:06:32 GMT+0100 (heure normale d’Europe centrale);/spells;Informations invalides;Error: Informations invalides    at Object._400 (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\errorHandler.js:24:11)    at valideSpellQuery (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\src\service\validation\validationModule.js:16:20)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:144:13)    at Route.dispatch (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\route.js:114:3)    at Layer.handle [as handle_request] (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\layer.js:95:5)    at C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:284:15    at Function.process_params (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:346:12)    at next (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:280:10)    at Function.handle (C:\MyWAMP\Meta-Stasis\Meta-stasis\back\node_modules\express\lib\router\index.js:175:3)
